"PointId","avg.x.est","sd.x.est","med.x.est","min.x.est","max.x.est","avg.y.est","sd.y.est","med.y.est","min.y.est","max.y.est","mean.no.nodes","n.sim","filter","x","y","diff.dist"
"P54",1166.31014215537,40.9542660173035,1158.91341602318,1083.89795466011,1252.55890599421,722.479744511794,40.9725825783053,722.880972994963,587.459942587255,813.419659422,29.28,100,"Distance 400",1165,743,20.5620368098226
"P55",200.888408894761,34.3448509232603,197.205940112891,92.0556799157393,285.6431142187,709.436997398787,28.8583066132279,709.612543136921,643.349397926294,788.103934359199,38.05,100,"Distance 400",191,706,10.4686953145676
"P56",723.37033038425,32.8614039801672,725.164707035403,639.381327899859,816.864793929871,412.637623856347,32.6613645059653,412.13145294028,306.95152750122,494.999733660547,43.68,100,"Distance 400",730,412,6.66026151109537
"P57",707.736891464168,32.695014704235,709.353845172173,587.428199420892,790.571326489394,164.18943770757,34.013810369633,164.196102143524,76.3773166580101,254.524425631563,33.51,100,"Distance 400",710,133,31.2714356043878
"P58",486.816781630959,26.1108234214474,485.062412465142,420.51829069075,570.545964909565,337.820636733455,26.0830479833863,337.909856945522,276.200491468254,436.570144723286,44.37,100,"Distance 400",480,339,6.9180495458369
"P59",578.494100182156,31.3339871346325,576.947486764707,504.087426841275,642.952929162222,1139.13986767463,30.7828750900168,1141.91471449577,1041.92361599477,1212.77252438577,29.03,100,"Distance 400",585,1168,29.5843534706705
"P6",852.899224785142,28.835671964622,853.403585800117,766.065568979074,915.687984557241,125.804073245551,34.7271545395894,127.485536202614,18.1249312386511,231.44670250708,32.54,100,"Distance 400",856,116,10.2827359752744
"P60",680.618873423125,35.3456683878151,683.486755436273,602.683507740178,752.815153590048,95.4073069500513,43.9050946421635,99.8086325368131,-53.7981098745108,187.689595637764,32.4,100,"Distance 400",661,96,19.6278241138455
"P61",22.4061069130559,37.0809807785375,26.7809013359316,-99.8664305075302,95.0703364365758,730.129134116051,35.2881302285331,730.063911382961,637.487085968037,811.640120992355,28.4,100,"Distance 400",17,737,8.74269923711222
"P62",766.576949541821,32.8412473215203,768.016901143782,673.202544166552,864.943069818341,13.0814618813276,44.193338105784,15.3801219140858,-95.8087707069863,124.025861957348,28.14,100,"Distance 400",772,21,9.59753729916305
"P63",1093.36325612826,35.9223086234788,1097.40142431165,1005.98240050685,1161.44985586915,1010.24464603607,28.6290389935389,1009.91018152155,960.060595296061,1072.62121666553,29.13,100,"Distance 400",1097,1007,4.87376998718974
