FID,Proofed,SPECIES,DATE,STATE,TIME,SITE,RECAP,BAND_PR,BAND_N,L,R,AGE,SEX,WT,FAT,BM,BILL_L,BILL_W,BILL_D,WING,TARS,TAIL,CP,BP,FEATHER,FECAL,AUX_TAG_NO,AUX_TAG_TYPE,LOC,BANDER,NOTES,PHOTO_1,
42,y,PABU,6/21/2023,GA,7:20,LSSI,Y,2881,30006,-,A,ASY,M,16,0,-,-,-,-,66,24.72,62,3,-,Y,Y,"310, 39.7",Lotek,LB,RJC,-,,
43,y,PABU,6/21/2023,GA,7:40,LSSI,Y,2881,30175,-,A,ASY,M,15.9,0,-,-,-,-,69,19.45,56,2,-,Y,N,-,-,LB,MHB,-,,
44,y,PABU,6/21/2023,GA,10:31,LSSI,Y,2881,30143,YY,GA,ASY,F,16.3,0,-,-,-,-,64,22.59,53,-,3,N,N,-,-,LB,RJC,-,,
45,y,PABU,6/21/2023,GA,11:07,LSSI,Y,2521,44752,A,O,ASY,M,16.7,0,-,-,-,-,66,22.59,63,3,-,Y,Y,-,-,LB,RJC,-,,
46,y,PABU,6/21/2023,GA,11:23,LSSI,Y,2881,30055,-,A,ASY,M,15.9,0,-,-,-,-,69,22.03,58,2,-,Y,N,-,-,LB,RJC,likely the partner of 281165728; followed her to the cage,,
47,y,PABU,6/21/2023,GA,11:23,LSSI,Y,2811,65728,-,A,ASY,F,-,0,-,-,-,-,61,21.92,55,-,3,N,Y,-,-,LB,RJC,likely the partner of 288130055; whined alot when in bag; maybe had nest to get back to,,
48,y,PABU,7/6/2023,GA,6:24,LSSI,Y,2881,71339,OB,BA,ASY,F,14.2,0,-,-,-,-,66,19.91,54,-,3,N,N,-,-,MosCrk,DJK,CTT PowerTag Antenna brokeoff; left foot schlerized with skin built up around the base of the foot,,
49,y,PABU,7/6/2023,GA,6:45,LSSI,Y,2811,65754,OB,OA,ASY,F,15.8,0,-,-,-,-,63,18.35,52,-,4,N,Y,4C332A19,CTT PowerTag,MosCrk,DJK,CTT PowerTag Antenna broke off from recaptured tag (52787819),,
50,y,PABU,7/6/2023,GA,7:08,LSSI,Y,2881,71363,RB,OA,ASY,M,15.3,0,-,-,-,-,69,19.15,55,3,-,N,Y,521E1934,CTT PowerTag,MosCrk,DJK,-,,
51,y,PABU,7/6/2023,GA,7:48,LSSI,Y,2881,71327,YO,YA,ASY,M,14.3,0,-,-,-,-,67,18.18,55,3,-,N,N,-,-,MosCrk,DJK,-,,
52,y,PABU,7/6/2023,GA,9:57,LSSI,Y,2881,71339,OB,BA,ASY,F,15,-,-,-,-,-,-,-,-,-,-,-,Y,2D55194C,CTT PowerTag,MosCrk,DJK,-,,
53,y,PABU,7/6/2023,GA,17:37,LSSI,Y,2881,71339,OB,BA,ASY,F,-,-,-,-,-,-,-,-,-,-,-,-,Y,2D55194C,CTT PowerTag,MosCrk,DJK,-,,
54,y,PABU,7/7/2023,GA,17:52,LSSI,Y,2881,71332,OO,WA,SY,M,16,1,-,-,-,-,66,19.64,53,1,-,Y,Y,-,-,BassCrk,CMC,-,,
