"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy","e.dist"
"3763C0","53",-90.1818181818182,2.52262489554756,11,215.33462331915,473211,3457866,473199,3457651,238.550901767061
"3763C0","65",-92.8333333333333,0.937436866561092,12,161.111762450791,473211,3457866,473372,3457860,277.972478526939
"3763C0","67",-89.0833333333333,0.792961461098759,12,197.428468058687,473211,3457866,473408,3457879,224.3612381664
"3763C0","71",-83.5,0.522232967867094,12,166.712327078714,473211,3457866,473338,3457974,165.215247369892
"3763C0","74",-93.6363636363636,6.78634993605145,11,122.11470017979,473211,3457866,473315,3457930,291.742451328039
"3763C0","91",-102.583333333333,2.02072594216369,12,296.096268129134,473211,3457866,473339,3457599,642.287819592874
"3765C3","20",-92.6363636363636,1.5015143870591,11,153.169840373358,472818,3457173,472899,3457043,274.743153720983
"3765C3","24",-93.3636363636364,1.02691063610494,11,299.848294975976,472818,3457173,473065,3457003,286.95220812377
"3765C3","27",-103.285714285714,4.42396073348629,7,220.492630262329,472818,3457173,473014,3457072,746.775306807026
"3765C3","28",-85.8333333333333,0.577350269189626,12,213.506440183897,472818,3457173,473019,3457101,187.722868999662
"3765C3","91",-98.4166666666667,0.668557923421521,12,672.991084636342,472818,3457173,473339,3457599,404.816818664951
"3765C3","106",-90.2727272727273,0.467099366496914,11,258.495647932417,472818,3457173,472960,3456957,239.774504201561
"376F3F","53",-97.5,1.24316312101612,12,349.927135272474,473467,3457876,473199,3457651,377.2307482122
"376F3F","65",-77.6666666666667,0.492365963917331,12,96.3379468330107,473467,3457876,473372,3457860,118.478431362101
"376F3F","67",-67.75,1.13818036595899,12,59.0762219509677,473467,3457876,473408,3457879,58.6797932906133
"376F3F","71",-78.1666666666667,0.577350269189626,12,162.003086390352,473467,3457876,473338,3457974,122.060309472242
"376F3F","74",-76.4166666666667,0.90033663737852,12,161.307160411434,473467,3457876,473315,3457930,109.810615024144
"376F3F","91",-90.6363636363636,0.924416277737175,11,305.144228193817,473467,3457876,473339,3457599,244.749911052112
"3775FB","9",-89.8333333333333,1.80067327475704,12,281.703745094026,472839,3456962,472945,3456701,233.932644998362
"3775FB","11",-100.8,4.93963561409139,10,268.92749952357,472839,3456962,472980,3456733,504.189681975675
"3775FB","20",-81.6666666666667,7.76159933534476,12,100.801785698469,472839,3456962,472899,3457043,149.24178274457
"3775FB","24",-96.2727272727273,0.646669790682863,11,229.688920063637,472839,3456962,473065,3457003,345.668239489206
"3775FB","106",-68.9090909090909,0.700649049745371,11,121.103261723209,472839,3456962,472960,3456957,64.7664238785339
"3777FD","9",-85.5833333333333,1.72986249234563,12,141.795627577158,473086,3456716,472945,3456701,185.178725076723
