"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy","e.dist"
"3765C3","1",-98.5833333333333,0.90033663737852,12,362.249913733599,472818,3457173,472943,3456833,402.971853997928
"3765C3","18",-91.9090909090909,0.831209414593634,11,180.646062785769,472818,3457173,472870,3457000,258.542319053643
"3765C3","19",-93.25,1.91287503750007,12,148.627050027914,472818,3457173,472865,3457032,279.618115958863
"3765C3","20",-92.6363636363636,1.5015143870591,11,153.169840373358,472818,3457173,472899,3457043,269.66275587692
"3765C3","24",-93.3636363636364,1.02691063610494,11,299.848294975976,472818,3457173,473065,3457003,281.524393023884
"3765C3","28",-85.8333333333333,0.577350269189626,12,213.506440183897,472818,3457173,473019,3457101,185.662488990144
"3765C3","29",-79.1,0.994428926011753,10,137.767920794356,472818,3457173,472940,3457109,129.320134221098
"3765C3","33",-67.5,1,12,64.4748012792595,472818,3457173,472877,3457147,61.0515117001663
"3765C3","37",-95.9166666666667,0.792961461098759,12,486.013374301572,472818,3457173,473198,3457476,330.818131283266
"3765C3","88",-101.833333333333,0.577350269189626,12,597.438699784338,472818,3457173,473300,3457526,570.179839214095
"3765C3","94",-99.7272727272727,2.4936282437809,11,255.566038432339,472818,3457173,473073,3457190,445.926774956692
"3765C3","96",-95.9090909090909,1.22102788293679,11,226.73552875542,472818,3457173,473043,3457145,330.649681998464
"3765C3","103",-100.545454545455,3.07777960106426,11,293.20470664708,472818,3457173,472878,3456886,484.581615522503
"3765C3","107",-97.6363636363636,2.20330330516374,11,262.727996224232,472818,3457173,472969,3456958,373.888341426727
"3765C3","114",-80.6363636363636,0.924416277737175,11,142.874070425672,472818,3457173,472956,3457210,140.696092655218
"3765C3","118",-94.6,2.83627298482435,10,384.037758560275,472818,3457173,472957,3456815,303.701889652208
"3765C3","120",-97.3333333333333,1.87487373312218,12,420.942989013952,472818,3457173,473015,3456801,365.502699360763
"3765C3","121",-100.545454545455,3.29738188154288,11,428.777331490367,472818,3457173,473043,3456808,484.581615522503
"376F3F","37",-96.1666666666667,1.40345893053447,12,482.038380214688,473467,3457876,473198,3457476,336.468310249406
"376F3F","44",-89,3.43775825476164,12,296.285335445411,473467,3457876,473480,3457580,219.928894900706
"376F3F","45",-99.7,3.71333931776897,10,304.059204761178,473467,3457876,473473,3457572,444.772319819696
"376F3F","46",-91.6666666666667,1.15470053837925,12,324.445681123975,473467,3457876,473450,3457552,254.984692791828
"376F3F","52",-102.333333333333,0.492365963917331,12,362.862232810195,473467,3457876,473217,3457613,618.96555973144
"376F3F","58",-86.4166666666667,1.08362466945083,12,194.455650470744,473467,3457876,473330,3457738,191.499040034932
"376F3F","65",-77.6666666666667,0.492365963917331,12,96.3379468330107,473467,3457876,473372,3457860,119.324957787472
"376F3F","66",-76.8333333333333,0.834847109936722,12,85.3287759199674,473467,3457876,473383,3457861,113.761766650373
"376F3F","70",-61.75,2.45412454303511,12,66.4906008395172,473467,3457876,473453,3457941,34.9541528757025
"376F3F","71",-78.1666666666667,0.577350269189626,12,162.003086390352,473467,3457876,473338,3457974,122.748278273318
"376F3F","80",-64.9090909090909,1.57826141399614,11,20.2484567313166,473467,3457876,473448,3457869,48.8168129616981
"376F3F","86",-97.1818181818182,0.873862897505303,11,422.849855149555,473467,3457876,473306,3457485,361.45349551958
"376F3F","88",-90.3333333333333,0.887625364598595,12,387.800206291848,473467,3457876,473300,3457526,236.595308686989
"3775FB","1",-79.1818181818182,0.873862897505303,11,165.701538918623,472839,3456962,472943,3456833,129.907973528853
"3775FB","2",-87.3333333333333,6.66515134293606,12,169.614268267737,472839,3456962,472939,3456825,201.075797473025
"3775FB","3",-77.9090909090909,1.51357493732854,11,177.228665852903,472839,3456962,472938,3456815,120.976530261369
"3775FB","10",-94.5,6.69463828882351,12,275.118156434649,472839,3456962,472956,3456713,301.801780795541
